Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,PPG,PPA,SHG,SHA,Hits,BS
Patrick Kane,CHI,RW,12,11,7,18,2,4,58,2,1,3,0,0,2,2
David Pastrnak,BOS,RW,12,11,5,16,6,4,56,0,3,3,0,0,6,1
Filip Forsberg,NSH,RW,12,10,4,14,11,6,43,1,3,0,0,0,12,7
Gabriel Landeskog,COL,LW,12,10,6,16,14,8,34,4,3,1,0,0,17,6
Auston Matthews,TOR,C,11,10,6,16,-1,2,38,2,4,1,0,0,4,10
Kyle Palmieri,NJ,RW,9,9,5,14,1,10,30,2,5,2,0,0,17,5
Nathan MacKinnon,COL,C,12,9,9,18,12,10,52,1,0,4,0,0,9,2
Connor McDavid,EDM,C,11,9,9,18,3,0,41,2,4,4,0,0,2,5
Timo Meier,SJ,LW,12,9,5,14,7,4,37,1,2,0,0,1,11,4
Viktor Arvidsson,NSH,LW,12,8,4,12,9,10,32,2,0,0,0,0,4,2
Elias Lindholm,CGY,RW,13,8,5,13,0,2,34,3,3,2,0,0,12,1
Alex Ovechkin,WAS,LW,10,8,6,14,0,2,39,1,4,4,0,0,25,3
Alex DeBrincat,CHI,RW,13,8,6,14,1,6,41,1,1,1,0,0,4,5
Elias Pettersson,VAN,C,8,7,3,10,3,2,19,1,2,2,0,0,5,7
Phil Kessel,PIT,RW,10,7,8,15,6,4,25,2,1,2,0,0,2,4
Patrice Bergeron,BOS,C,12,7,12,19,5,4,38,1,2,6,1,0,5,12
Jonathan Toews,CHI,C,13,7,5,12,5,6,40,1,1,0,0,0,8,2
John Tavares,TOR,C,12,7,6,13,2,6,43,1,2,1,0,0,11,11
Brendan Gallagher,MON,RW,11,7,1,8,3,4,35,3,1,0,0,0,22,4
Bo Horvat,VAN,C,14,7,3,10,-4,11,33,2,2,2,0,0,13,12
Micheal Ferland,CAR,LW,12,7,4,11,9,11,43,1,2,1,0,0,34,5
Brayden Point,TB,C,11,7,7,14,9,8,25,1,1,3,0,0,5,5
Leon Draisaitl,EDM,C,11,7,6,13,-1,2,24,2,2,4,0,0,6,3
Kasperi Kapanen,TOR,RW,12,6,4,10,6,2,26,1,0,0,0,0,14,3
Josh Anderson,CLS,RW,11,6,1,7,5,8,33,1,0,0,0,0,17,4
Dylan Larkin,DET,C,12,6,6,12,-5,10,41,0,1,1,2,0,12,8
Kyle Connor,WPG,LW,13,6,5,11,3,4,36,1,3,2,0,0,0,1
Mark Scheifele,WPG,C,13,6,7,13,3,16,31,0,3,3,0,0,4,11
Johnny Gaudreau,CGY,LW,13,6,10,16,1,0,40,2,1,5,0,0,2,1
Jonathan Marchessault,VGK,LW,12,6,6,12,5,8,52,1,1,2,0,0,11,2
Cam Atkinson,CLS,RW,11,6,5,11,-6,6,45,1,1,2,0,0,5,6
Mikael Granlund,MIN,C,12,6,6,12,0,2,26,2,1,4,1,0,3,7
Jeff Skinner,BUF,LW,12,6,6,12,10,2,34,1,0,3,0,0,3,5
Brock Nelson,NYI,C,11,6,1,7,5,4,23,0,0,0,0,0,4,11
Chris Kreider,NYR,LW,12,6,3,9,2,10,35,0,2,1,0,0,19,5
Logan Couture,SJ,C,12,6,8,14,1,2,31,1,1,1,0,0,7,12
Wayne Simmonds,PHI,RW,12,6,1,7,-6,18,28,1,2,1,0,0,23,7
Sidney Crosby,PIT,C,10,6,8,14,9,0,30,1,1,3,0,0,17,4
Evgeni Malkin,PIT,C,10,6,13,19,4,8,23,1,1,3,0,0,7,8
T.J. Oshie,WAS,RW,10,6,4,10,4,2,23,1,1,1,0,0,21,11
Patrik Laine,WPG,RW,13,6,2,8,-3,10,51,1,5,1,0,0,11,9
Matthew Tkachuk,CGY,LW,13,5,9,14,2,16,29,0,1,4,0,0,15,4
Clayton Keller,ARI,C,11,5,3,8,2,6,25,2,0,2,0,0,2,3
Jason Pominville,BUF,RW,12,5,5,10,6,0,27,0,1,1,0,0,2,1
Alexander Radulov,DAL,RW,7,5,6,11,0,8,18,0,1,4,0,0,12,6
David Perron,STL,RW,10,5,5,10,2,2,18,1,3,1,0,0,4,1
Michael Frolik,CGY,LW,12,5,0,5,2,10,18,0,0,0,1,0,11,6
Joe Pavelski,SJ,C,12,5,0,5,1,8,33,1,1,0,0,0,8,9
John Carlson,WAS,D,10,5,9,14,3,6,23,0,1,7,0,0,11,18
Evgenii Dadonov,FLA,RW,10,5,6,11,2,2,31,0,1,2,0,0,2,4
Vladimir Tarasenko,STL,RW,10,5,4,9,-7,0,45,0,3,1,0,0,7,4
Evgeny Kuznetsov,WAS,C,10,5,10,15,-1,12,33,0,5,3,0,0,11,4
Mike Hoffman,FLA,LW,10,5,3,8,-4,4,38,1,2,2,0,0,6,2
Tyler Johnson,TB,C,10,5,4,9,9,4,25,0,0,2,1,0,5,6
Mika Zibanejad,NYR,C,12,5,5,10,-2,10,49,1,2,2,1,0,22,15
Sean Monahan,CGY,C,13,5,9,14,1,0,33,0,3,1,0,0,0,5
John Klingberg,DAL,D,11,5,6,11,-1,2,30,2,2,3,0,0,4,10
Max Domi,MON,C,11,5,6,11,0,10,23,0,1,4,0,0,12,6
Nikita Kucherov,TB,RW,11,5,7,12,0,4,26,2,2,2,0,0,5,4
Tomas Hertl,SJ,LW,12,5,8,13,-2,4,34,0,2,0,1,1,7,6
Artemi Panarin,CLS,LW,11,5,10,15,3,4,39,3,0,3,0,0,2,3
Mikko Rantanen,COL,RW,12,5,16,21,14,10,29,0,2,2,0,0,11,11
Jake Guentzel,PIT,LW,10,5,2,7,4,2,25,0,1,0,0,0,14,7
Jake Virtanen,VAN,LW,14,5,2,7,1,10,27,0,1,0,0,0,31,9
Ryan Dzingel,OTT,C,9,4,3,7,-5,8,24,0,0,0,0,0,10,2
Yanni Gourde,TB,LW,11,4,8,12,4,7,22,2,3,1,0,0,11,5
Tyler Bertuzzi,DET,LW,12,4,3,7,-1,19,14,1,1,1,0,0,24,7
Christian Fischer,ARI,RW,11,4,0,4,0,10,27,0,0,0,0,0,13,1
Mitch Marner,TOR,C,12,4,12,16,1,4,33,0,1,4,0,0,7,7
Jack Eichel,BUF,C,12,4,8,12,-2,4,47,0,1,2,0,0,17,8
Andreas Athanasiou,DET,C,11,4,2,6,-4,4,36,0,1,2,0,0,3,2
Morgan Rielly,TOR,D,12,4,11,15,4,0,39,1,0,7,0,0,11,21
Adam Lowry,WPG,LW,13,4,1,5,3,9,24,1,0,0,1,0,39,11
Craig Smith,NSH,RW,12,4,2,6,1,4,37,0,1,0,0,0,4,2
Anthony Duclair,CLS,LW,11,4,2,6,-1,2,20,0,2,0,0,0,3,2
Pontus Aberg,ANH,LW,7,4,0,4,-1,4,10,0,1,0,0,0,11,3
Scott Laughton,PHI,C,12,4,1,5,1,16,19,0,0,0,0,0,13,5
Sean Couturier,PHI,C,12,4,0,4,-4,0,28,0,1,0,0,0,7,7
Anders Lee,NYI,C,11,4,7,11,6,17,31,1,4,1,0,0,13,10
Mark Stone,OTT,RW,11,4,4,8,0,6,22,1,1,3,0,0,13,10
Jason Zucker,MIN,LW,12,4,5,9,3,6,44,1,1,2,0,0,12,2
Alex Chiasson,EDM,RW,6,4,0,4,5,0,6,0,0,0,0,0,8,4
Jamie Benn,DAL,C,11,4,5,9,2,13,34,0,3,1,0,0,19,16
Paul Byron,MON,C,11,4,3,7,3,0,23,1,0,0,0,1,24,10
Matt Duchene,OTT,C,11,4,7,11,-2,0,24,0,1,1,0,0,5,8
Evander Kane,SJ,LW,12,4,6,10,-1,25,44,0,1,2,0,0,24,4
Patric Hornqvist,PIT,RW,10,4,2,6,2,0,30,1,1,0,0,0,18,5
Kris Letang,PIT,D,9,4,7,11,8,4,27,1,1,2,0,0,19,14
Jordan Staal,CAR,C,12,4,3,7,1,6,37,0,0,1,0,0,34,5
Brad Marchand,BOS,LW,12,4,11,15,4,32,22,2,2,3,0,1,6,1
Carl Soderberg,COL,C,12,4,3,7,-2,4,25,0,2,2,0,0,6,10
Valtteri Filppula,NYI,C,11,4,3,7,3,0,9,1,0,0,1,0,2,4
Eric Staal,MIN,C,12,4,6,10,-4,10,37,1,2,1,0,1,6,6
Zach Parise,MIN,LW,12,4,8,12,6,6,35,0,1,1,0,2,10,15
Alexander Steen,STL,LW,10,4,3,7,-4,4,21,0,1,3,0,0,11,13
Pierre-Luc Dubois,CLS,LW,11,4,4,8,-2,18,24,0,1,1,0,0,17,10
Sebastian Aho,CAR,LW,12,4,13,17,11,2,31,2,1,3,0,0,11,9
Max Lajoie,OTT,D,11,4,3,7,-1,4,27,0,2,2,0,0,6,19
Nolan Patrick,PHI,C,9,3,1,4,-5,0,11,1,0,0,0,0,11,4
Nico Hischier,NJ,C,9,3,5,8,-1,0,22,0,2,1,0,0,4,4
Conor Sheary,BUF,LW,12,3,2,5,-7,6,21,1,3,0,0,0,3,8
Frank Vatrano,FLA,C,9,3,0,3,0,6,12,0,1,0,0,0,10,6
Brady Tkachuk,OTT,LW,4,3,3,6,5,4,14,1,1,1,0,0,13,0
Zdeno Chara,BOS,D,12,3,1,4,1,14,22,2,1,0,0,0,13,21
Ilya Kovalchuk,LA,RW,11,3,5,8,-5,2,31,0,1,2,0,0,6,3
Ryan Suter,MIN,D,12,3,9,12,0,8,22,1,1,3,1,1,6,22
Ryan Kesler,ANH,C,10,3,1,4,-6,7,17,1,1,1,0,0,16,11
Brent Burns,SJ,D,12,3,12,15,5,14,34,1,1,5,0,2,11,13
Brian Boyle,NJ,C,9,3,1,4,-1,6,16,0,2,0,0,0,14,7
Brad Richardson,ARI,C,11,3,2,5,2,4,21,1,0,0,2,1,5,8
Anze Kopitar,LA,C,10,3,1,4,0,0,24,0,0,1,0,0,13,9
Travis Zajac,NJ,C,8,3,3,6,3,2,8,1,0,1,0,0,5,5
Andrew Ladd,NYI,LW,8,3,3,6,2,8,11,0,0,0,0,1,9,3
Colin Wilson,COL,LW,12,3,0,3,-3,2,21,1,2,0,0,0,8,6
Jakub Voracek,PHI,LW,12,3,9,12,-5,6,32,1,1,3,0,0,5,1
Brandon Sutter,VAN,C,13,3,1,4,-8,2,21,0,0,0,1,0,12,6
Kyle Okposo,BUF,RW,12,3,4,7,-6,18,28,1,2,2,0,0,17,3
Claude Giroux,PHI,C,12,3,10,13,-4,4,44,0,1,5,0,0,4,1
Nick Foligno,CLS,LW,11,3,4,7,-3,4,18,1,0,1,0,0,21,9
Bryan Little,WPG,C,13,3,2,5,-5,0,28,2,1,0,0,0,5,3
Brayden Schenn,STL,LW,10,3,6,9,-2,8,27,0,2,3,0,0,23,4
Nazem Kadri,TOR,C,12,3,4,7,-7,6,25,1,1,3,0,0,12,2
Jordan Eberle,NYI,RW,11,3,3,6,-4,4,24,1,2,1,0,0,3,5
Tomas Tatar,MON,LW,11,3,6,9,3,2,30,0,1,1,0,0,8,4
Cody Eakin,VGK,C,9,3,1,4,0,0,8,2,0,0,1,0,9,5
Jakob Silfverberg,ANH,RW,8,3,4,7,3,10,12,0,0,2,0,0,2,3
Reilly Smith,VGK,RW,12,3,3,6,0,0,31,0,1,1,0,0,5,7
Tyler Seguin,DAL,C,11,3,9,12,3,4,58,1,1,4,0,0,10,11
Mats Zuccarello,NYR,RW,12,3,7,10,-4,4,21,0,1,3,0,0,14,15
Casey Cizikas,NYI,C,10,3,3,6,6,10,15,0,0,0,1,0,13,7
Matt Martin,NYI,LW,10,3,1,4,4,18,13,0,0,0,0,0,38,5
Ryan O'Reilly,STL,C,10,3,11,14,1,6,31,0,0,6,0,1,3,7
Tyler Toffoli,LA,RW,11,3,3,6,-3,0,27,0,1,0,0,0,4,2
Adam Henrique,ANH,C,13,3,3,6,-3,6,13,0,2,0,0,0,10,13
Ryan Reaves,VGK,RW,12,3,0,3,-1,7,18,1,1,0,0,0,48,1
Ryan Nugent-Hopkins,EDM,LW,11,3,10,13,6,2,38,1,1,4,1,0,4,3
Brandon Saad,CHI,LW,13,3,3,6,3,2,31,0,1,0,1,0,8,8
Sven Baertschi,VAN,LW,10,3,3,6,-2,4,12,0,2,2,0,0,7,6
Jamie Oleksiak,PIT,D,9,3,4,7,8,9,15,0,0,0,0,0,20,12
Jonathan Drouin,MON,C,11,3,5,8,3,8,22,1,1,4,0,0,17,7
Jordan Martinook,CAR,LW,12,3,1,4,3,4,30,0,0,0,1,0,33,7
Zachary Sanford,STL,LW,5,3,3,6,6,0,6,1,0,0,0,0,7,4
J.T. Compher,COL,C,5,3,1,4,0,6,10,0,1,1,0,0,2,1
Ben Street,ANH,C,12,3,2,5,0,0,11,0,0,0,0,0,11,6
Anthony Mantha,DET,RW,12,3,2,5,-12,6,25,0,1,1,0,0,13,3
Ryan Hartman,NSH,RW,12,3,3,6,4,2,20,2,0,0,0,0,11,4
William Karlsson,VGK,C,12,3,6,9,2,2,18,0,2,1,0,0,6,9
Blake Coleman,NJ,C,9,3,0,3,2,6,18,1,0,0,0,0,21,4
Vincent Trocheck,FLA,C,10,3,5,8,-2,16,32,0,1,2,0,0,26,8
J.T. Miller,TB,C,11,3,7,10,-5,8,14,1,3,2,0,0,17,3
Boone Jenner,CLS,LW,11,3,0,3,0,4,36,0,1,0,0,0,18,6
Mathew Dumba,MIN,D,12,3,3,6,0,6,32,0,1,2,0,0,29,17
Teuvo Teravainen,CAR,C,12,3,8,11,9,2,30,0,1,1,0,0,4,5
Jimmy Vesey,NYR,LW,12,3,0,3,-4,7,26,0,1,0,0,0,8,5
Jean-Sebastien Dea,NJ,C,9,3,0,3,1,2,15,1,0,0,0,0,7,6
Thomas Chabot,OTT,D,11,3,10,13,1,8,21,1,1,2,0,0,13,13
Jake DeBrusk,BOS,LW,12,3,0,3,2,4,29,1,1,0,0,0,9,0
Joonas Donskoi,SJ,RW,12,3,5,8,3,2,22,1,1,2,0,0,11,10
Vince Dunn,STL,D,8,3,3,6,-2,4,20,0,2,1,0,0,6,8
Warren Foegele,CAR,LW,12,3,2,5,-3,4,31,0,0,0,0,0,18,2
Jakub Vrana,WAS,RW,10,3,2,5,5,12,24,0,0,0,0,0,5,4
Pavel Buchnevich,NYR,LW,10,3,2,5,2,0,12,0,1,0,0,0,5,4
Vinnie Hinostroza,ARI,C,11,3,3,6,0,4,27,1,0,2,0,0,4,5
Charles Hudon,MON,LW,8,2,1,3,-2,6,13,0,0,1,0,0,17,0
Joakim Nordstrom,BOS,C,11,2,0,2,1,2,21,0,0,0,0,0,13,9
Ben Chiarot,WPG,D,13,2,2,4,1,26,12,0,0,0,0,0,24,20
Alex Tuch,VGK,RW,4,2,1,3,2,0,19,0,0,1,0,0,7,2
Sam Bennett,CGY,LW,13,2,1,3,0,8,19,0,0,0,0,0,31,4
Chris Wideman,OTT,D,11,2,2,4,-5,8,9,1,0,0,0,0,18,15
Travis Konecny,PHI,C,12,2,3,5,0,6,22,0,1,0,0,0,11,4
Colin White,OTT,C,11,2,4,6,-1,6,17,0,1,0,0,0,6,5
Brock Boeser,VAN,RW,12,2,5,7,-2,8,29,2,0,3,0,0,4,2
Lawson Crouse,ARI,LW,11,2,0,2,3,18,24,0,0,0,1,0,26,4
Zach Werenski,CLS,D,11,2,6,8,-1,6,25,0,1,3,0,0,3,12
Garnet Hathaway,CGY,RW,9,2,0,2,2,4,7,1,0,0,0,0,31,4
Colton Parayko,STL,D,10,2,2,4,1,4,20,0,1,1,0,0,17,19
Ben Hutton,VAN,D,12,2,0,2,-3,10,16,0,0,0,0,0,13,19
Dylan Strome,ARI,C,10,2,0,2,-3,4,21,1,2,0,0,0,1,3
Leo Komarov,NYI,LW,11,2,2,4,1,6,12,0,0,0,0,0,33,7
Hampus Lindholm,ANH,D,13,2,6,8,-1,2,20,0,0,2,0,0,20,29
Alex Killorn,TB,C,11,2,1,3,-5,8,26,0,1,1,0,0,15,4
Markus Granlund,VAN,C,14,2,3,5,4,8,23,0,0,0,0,0,11,6
Matt Nieto,COL,LW,12,2,1,3,-3,4,18,1,0,0,0,0,7,6
Jason Dickinson,DAL,C,9,2,2,4,1,4,16,0,0,0,0,0,12,2
Robert Hagg,PHI,D,12,2,4,6,1,12,22,1,0,0,0,0,40,18
Brett Pesce,CAR,D,12,2,1,3,8,4,19,0,0,0,0,0,14,25
Damon Severson,NJ,D,9,2,5,7,-2,6,14,0,1,0,0,0,14,6
Devin Shore,DAL,C,11,2,6,8,3,0,9,1,0,1,1,0,10,5
Radek Faksa,DAL,C,11,2,2,4,0,9,12,0,0,0,0,1,9,11
Chris Tierney,OTT,C,11,2,9,11,2,6,19,0,0,4,0,0,4,10
Aleksander Barkov,FLA,C,10,2,7,9,0,0,27,0,0,3,0,0,2,2
Antoine Roussel,VAN,LW,10,2,1,3,-1,28,9,0,0,0,0,0,19,11
Jonas Brodin,MIN,D,12,2,0,2,0,4,17,2,0,0,1,0,5,22
Rickard Rakell,ANH,C,13,2,6,8,-3,0,33,0,1,2,0,0,21,17
Dougie Hamilton,CAR,D,12,2,3,5,0,4,52,0,1,0,0,0,20,11
Joel Armia,MON,RW,11,2,2,4,1,8,29,0,0,0,1,0,28,4
Jared Spurgeon,MIN,D,12,2,5,7,0,4,15,0,0,1,0,1,13,14
Mattias Ekholm,NSH,D,12,2,6,8,7,7,20,0,0,0,0,1,10,16
Jonathan Huberdeau,FLA,LW,10,2,6,8,-4,4,29,0,1,1,0,0,5,5
Ryan Johansen,NSH,C,12,2,11,13,9,14,27,0,0,4,0,0,16,7
Kevin Hayes,NYR,C,12,2,2,4,-1,4,25,0,0,0,0,0,14,3
Marcus Kruger,CHI,C,13,2,0,2,2,14,13,1,0,0,0,0,8,7
Taylor Hall,NJ,LW,9,2,10,12,-1,6,29,0,0,8,0,0,6,7
Nick Bjugstad,FLA,C,10,2,3,5,5,8,15,0,0,1,0,0,7,7
Calle Jarnkrok,NSH,C,12,2,1,3,4,0,11,0,0,0,0,0,6,4
Charlie Coyle,MIN,RW,12,2,4,6,2,8,16,0,1,0,0,0,14,9
Richard Panik,ARI,RW,9,2,1,3,2,4,21,0,0,1,0,0,9,6
Mathieu Perreault,WPG,C,13,2,1,3,1,2,21,1,0,0,0,0,17,1
Roman Josi,NSH,D,12,2,4,6,6,0,33,0,0,1,0,0,10,19
Zack Smith,OTT,C,9,2,3,5,2,9,11,0,0,0,0,0,21,8
Derek Stepan,ARI,C,11,2,4,6,5,4,30,0,0,0,1,0,5,6
Victor Hedman,TB,D,9,2,2,4,-3,6,23,0,0,1,0,0,7,16
Tyler Bozak,STL,C,10,2,2,4,-4,0,21,1,1,0,0,0,5,2
Keith Yandle,FLA,D,10,2,8,10,-1,6,32,0,1,2,0,0,7,11
Ryan Callahan,TB,RW,7,2,0,2,-2,0,12,0,0,0,0,0,11,0
Kyle Turris,NSH,C,12,2,7,9,0,4,18,1,1,1,0,0,9,4
Nicklas Backstrom,WAS,C,10,2,11,13,3,4,16,1,2,6,0,0,6,4
Michael Grabner,ARI,RW,11,2,3,5,2,2,21,0,0,0,2,2,5,7
Trevor Lewis,LA,C,11,2,0,2,-7,0,27,0,0,0,0,0,18,3
Artem Anisimov,CHI,C,13,2,6,8,2,0,16,0,0,0,0,0,1,5
Dustin Byfuglien,WPG,D,11,2,8,10,2,12,31,1,0,6,0,0,19,16
P.K. Subban,NSH,D,12,2,8,10,5,6,35,1,0,4,1,0,9,18
Max Pacioretty,VGK,LW,10,2,0,2,-4,6,26,0,0,0,0,0,22,4
Mikkel Boedker,OTT,LW,11,2,4,6,-2,2,16,0,0,1,0,0,6,5
